# Revit Export Layers
# Maps Categories and Subcategories to layer names and color numbers
# Category <tab> Subcategory <tab> Layer name <tab> Color number <tab>
# Cut layer name <tab> Cut color number
# Do not remove the colon (:) after certain category names.
# -----------------------------------------------------
Air Terminals		IfcAirTerminal			
Structural Connections	Reference	Not Exported			
Structural Connections	Shear Studs	IfcMechanicalFastener			
Structural Connections	Symbol	Not Exported			
Structural Connections	Welds	IfcFastener			
Structural Fabric Areas		IfcGroup			
Structural Fabric Areas	Boundary	IfcGroup			
Structural Fabric Reinforcement		IfcReinforcementMesh			
Structural Fabric Reinforcement	Boundary	IfcReinforcementMesh			
Structural Fabric Reinforcement	Fabric Wire	IfcReinforcementMesh			
Structural Foundation Tags		Not Exported			
Structural Foundations		IfcSlab	BASESLAB		
Structural Foundations	Hidden Lines	IfcSlab			
Structural Framing		IfcMember			
Structural Framing	Chord	IfcMember			
Structural Framing	Girder	IfcMember			
Structural Framing	Hidden Faces	IfcMember			
Structural Framing	Hidden Lines	IfcMember			
Structural Framing	Horizontal Bracing	IfcMember			
Structural Framing	Joist	IfcBeam			
Structural Framing	Kicker Bracing	IfcMember			
Structural Framing	Location Lines	IfcMember			
Structural Framing	Other	IfcMember			
Structural Framing	Purlin	IfcMember			
Structural Framing	Rigid Links	IfcMember			
Structural Framing	Stick Symbols	IfcMember			
Structural Framing	Vertical Bracing	IfcMember			
Structural Framing	Web	IfcMember			
Structural Framing Tags		Not Exported			
Structural Path Reinforcement		IfcReinforcingBar			
Structural Path Reinforcement	Boundary	IfcReinforcingBar			
Structural Rebar		IfcReinforcingMesh			
Structural Rebar	Hidden Lines	IfcReinforcingMesh			
Structural Rebar Couplers		IfcMechanicalFastener			
Structural Rebar Couplers	Hidden Lines	IfcMechanicalFastener			
Structural Stiffener Tags		Not Exported			
Structural Stiffeners		IfcPlate			
Structural Stiffeners	Hidden Lines	IfcPlate			
Structural Truss Tags		Not Exported			
Structural Trusses		IfcAssembly	TRUSS		
Structural Trusses	Stick Symbols	IfcAssembly			
Telephone Devices		IfcElectricApplianceType	TELEPHONE		
Temporary		Not Exported			
Text Notes		IfcAnnotation			
Title Blocks		Not Exported			
Title Blocks	Medium Lines				
Title Blocks	Thin Lines				
Title Blocks	Wide Lines				
Topography		IfcSite			
Topography	Boundary Point	IfcSite			
Topography	Hidden Lines	IfcSite			
Topography	Interior Point	IfcSite			
Topography	Primary Contours	IfcSite			
Topography	Secondary Contours	IfcSite			
Topography	Triangulation Edges	IfcSite			
View Titles		Not Exported			
Wall Tags		Not Exported			
Walls		IfcWall			
Walls	Common Edges	IfcWall			
Walls	Curtain Wall Grids	IfcWall			
Walls	Cut Pattern	IfcWall			
Walls	Finish 1 [4]	IfcWall			
Walls	Finish 2 [5]	IfcWall			
Walls	Hidden Lines	IfcWall			
Walls	Membrane Layer	IfcWall			
Walls	Reveals	IfcOpeningElement			
Walls	Stacked Walls	IfcWall			
Walls	Structure [1]	IfcWall			
Walls	Substrate [2]	IfcWall			
Walls	Surface Pattern	IfcWall			
Walls	Thermal/Air Layer [3]	IfcWall			
Walls	Wall Sweep - Trim	IfcWall			
Walls	Wall Sweeps	IfcWall			
Walls/Interior:1		IfcWall			
Walls/Exterior:2		IfcWall			
Walls/Foundation:3		IfcWall			
Walls/Retaining:4		IfcWall			
Weld Tags		Not Exported			
Window Tags		Not Exported			
Windows		IfcWindow			
Windows	Elevation Swing	IfcWindow			
Windows	Frame/Mullion	IfcWindow			
Windows	Glass	IfcWindow			
Windows	Hidden Lines	IfcWindow			
Windows	Moulding	IfcWindow			
Windows	Opening	IfcWindow			
Windows	Plan Swing	IfcWindow			
Windows	Sill/Head	IfcWindow			
Windows	Trim	IfcWindow			
Wires		Not Exported			
Wires	Home Run Arrows	Not Exported			
Wires	Wire Tick Marks	Not Exported			
